County,Calendar_year,Financial_quarter,Per_capita_sales,Total_taxable_sales
ALAMEDA,2022,4,37.87,62567541
CALAVERAS,2022,4,53.3,2401353
CONTRA COSTA,2022,4,23.72,27440107
DEL NORTE,2022,4,35.54,967457
EL DORADO,2022,4,71.66,13649084
FRESNO,2022,4,15.82,16000999
HUMBOLDT,2022,4,61.92,8370289
IMPERIAL,2022,4,55.98,10040174
INYO,2022,4,69.5,1319144
KERN,2022,4,3.57,3249604
KINGS,2022,4,51.64,7850492
LAKE,2022,4,29.86,2012823
LOS ANGELES,2022,4,35.62,351353273
MARIN,2022,4,12.28,3158752
MENDOCINO,2022,4,47.15,4243542
MERCED,2022,4,33.34,9482490
MONO,2022,4,84.4,1129293
MONTEREY,2022,4,40.09,17389406
NAPA,2022,4,34,4630617
ORANGE,2022,4,20.68,65404429
PLACER,2022,4,1.02,419772
RIVERSIDE,2022,4,44.3,107897992
SACRAMENTO,2022,4,41.44,65342615
SAN BERNARDINO,2022,4,15.74,34446175
SAN DIEGO,2022,4,38.36,126126036
SAN FRANCISCO,2022,4,68.86,58037530
SAN JOAQUIN,2022,4,16.44,12899357
SAN LUIS OBISPO,2022,4,46.52,13061421
SAN MATEO,2022,4,16.16,12035594
SANTA BARBARA,2022,4,36.71,16343401
SANTA CLARA,2022,4,25.18,47726751
SANTA CRUZ,2022,4,57.18,15243606
SHASTA,2022,4,52.75,9523346
SISKIYOU,2022,4,30.28,1327525
SOLANO,2022,4,43.88,19628508
SONOMA,2022,4,54.75,26412824
STANISLAUS,2022,4,63.52,34905003
TULARE,2022,4,31.34,14887861
TUOLUMNE,2022,4,38.46,2127020
UNDISCLOSED,2022,4,,9976848
VENTURA,2022,4,24.98,20827739
YOLO,2022,4,32.26,7135488
YUBA,2022,4,52.55,4324186
ALAMEDA,2022,3,43.46,71805410
CALAVERAS,2022,3,59.88,2697965
CONTRA COSTA,2022,3,25.45,29444845
DEL NORTE,2022,3,38.48,1047491
EL DORADO,2022,3,53.75,10238218
FRESNO,2022,3,13.3,13454796
HUMBOLDT,2022,3,68.5,9259201
IMPERIAL,2022,3,32.41,5812485
INYO,2022,3,81.67,1549957
KERN,2022,3,3.58,3262383
KINGS,2022,3,53.21,8089318
LAKE,2022,3,28.09,1893625
LOS ANGELES,2022,3,36.11,356120711
MARIN,2022,3,13.58,3494420
MENDOCINO,2022,3,60.66,5459960
MERCED,2022,3,33.11,9417002
MONO,2022,3,110.55,1479134
MONTEREY,2022,3,42.61,18484412
NAPA,2022,3,28.77,3918394
NEVADA,2022,3,52.17,5282066
ORANGE,2022,3,21.57,68234588
RIVERSIDE,2022,3,38.59,93994400
SACRAMENTO,2022,3,45.22,71307258
SAN BERNARDINO,2022,3,14.57,31892948
SAN DIEGO,2022,3,41.87,137667553
SAN FRANCISCO,2022,3,67.9,57227155
SAN JOAQUIN,2022,3,17.77,13939560
SAN LUIS OBISPO,2022,3,53.25,14950251
SAN MATEO,2022,3,21.06,15689462
SANTA BARBARA,2022,3,36.08,16062652
SANTA CLARA,2022,3,26.35,49940123
SANTA CRUZ,2022,3,59.19,15779607
SHASTA,2022,3,59.16,10680380
SISKIYOU,2022,3,35.68,1564055
SOLANO,2022,3,44.29,19809284
SONOMA,2022,3,55.99,27012156
STANISLAUS,2022,3,64.08,35209860
TULARE,2022,3,28.8,13683023
UNDISCLOSED,2022,3,,11133338
VENTURA,2022,3,23.87,19905707
YOLO,2022,3,30.9,6835443
ALAMEDA,2022,2,47.68,78777672
CALAVERAS,2022,2,64.54,2907867
CONTRA COSTA,2022,2,25.4,29384898
DEL NORTE,2022,2,32.31,879631
EL DORADO,2022,2,65.42,12460609
FRESNO,2022,2,5.33,5390754
HUMBOLDT,2022,2,73.57,9945473
IMPERIAL,2022,2,30.39,5450656
INYO,2022,2,65.16,1236745
