"County","Calendar Year","Quarter","Per Capita Sales","Total Taxable Sales"
"Alameda","2022","4","43.24","71441014"
"Calaveras","2022","4","53.3","2401353"
"Contra Costa","2022","4","23.74","27460007"
"Del Norte","2022","4","35.54","967457"
"El Dorado","2022","4","71.66","13649084"
"Fresno","2022","4","16.69","16886885"
"Humboldt","2022","4","62.15","8401701"
"Imperial","2022","4","55.98","10040174"
"Inyo","2022","4","69.5","1319144"
"Kern","2022","4","5.39","4910255"
"Kings","2022","4","51.64","7850492"
"Lake","2022","4","29.86","2012823"
"Los Angeles","2022","4","37.71","371962634"
"Marin","2022","4","14.05","3612772"
"Mendocino","2022","4","56.54","5089270"
"Merced","2022","4","33.34","9482490"
"Mono","2022","4","84.4","1129293"
"Monterey","2022","4","40.92","17748314"
"Napa","2022","4","34","4630617"
"Orange","2022","4","20.7","65487403"
"Placer","2022","4","1.02","419772"
"Riverside","2022","4","44.78","109074599"
"Sacramento","2022","4","45.17","71226974"
"San Bernardino","2022","4","16.59","36301834"
"San Diego","2022","4","41.73","137186698"
"San Francisco","2022","4","73.58","62013294"
"San Joaquin","2022","4","18.4","14436025"
"San Luis Obispo","2022","4","52","14599595"
"San Mateo","2022","4","21.43","15959160"
"Santa Barbara","2022","4","36.74","16355407"
"Santa Clara","2022","4","26.57","50357632"
"Santa Cruz","2022","4","57.18","15243606"
"Shasta","2022","4","55.74","10064092"
"Siskiyou","2022","4","30.28","1327525"
"Solano","2022","4","43.88","19628508"
"Sonoma","2022","4","57.47","27728503"
"Stanislaus","2022","4","64.04","35193156"
"Tulare","2022","4","31.34","14887861"
"Tuolumne","2022","4","38.46","2127020"
"Undisclosed","2022","4","","9976848"
"Ventura","2022","4","25.2","21010493"
"Yolo","2022","4","32.26","7135488"
"Yuba","2022","4","52.59","4327053"
"Alameda","2022","3","43.46","71805410"
"Calaveras","2022","3","59.88","2697965"
"Contra Costa","2022","3","25.46","29447748"
"Del Norte","2022","3","38.48","1047491"
"El Dorado","2022","3","53.75","10238218"
"Fresno","2022","3","13.3","13454796"
"Humboldt","2022","3","68.5","9259201"
"Imperial","2022","3","32.41","5812485"
"Inyo","2022","3","81.67","1549957"
"Kern","2022","3","5.41","4929500"
"Kings","2022","3","53.21","8089318"
"Lake","2022","3","28.09","1893625"
"Los Angeles","2022","3","36.13","356291617"
"Marin","2022","3","14.72","3787438"
"Mendocino","2022","3","60.66","5459960"
"Merced","2022","3","33.11","9417002"
"Mono","2022","3","110.55","1479134"
"Monterey","2022","3","42.61","18484412"
"Napa","2022","3","28.77","3918394"
"Nevada","2022","3","52.17","5282066"
"Orange","2022","3","21.59","68274068"
"Riverside","2022","3","38.58","93986312"
"Sacramento","2022","3","45.34","71495909"
"San Bernardino","2022","3","14.57","31892948"
"San Diego","2022","3","41.87","137667553"
"San Francisco","2022","3","67.97","57289898"
"San Joaquin","2022","3","17.77","13939560"
"San Luis Obispo","2022","3","54.54","15311581"
"San Mateo","2022","3","21.06","15689462"
"Santa Barbara","2022","3","36.08","16062652"
"Santa Clara","2022","3","26.35","49940123"
"Santa Cruz","2022","3","59.19","15779607"
"Shasta","2022","3","59.16","10680380"
"Siskiyou","2022","3","35.68","1564055"
"Solano","2022","3","44.29","19809284"
"Sonoma","2022","3","56.71","27359459"
"Stanislaus","2022","3","64.08","35209860"
"Tulare","2022","3","28.8","13683023"
"Undisclosed","2022","3","","11132117"
"Ventura","2022","3","23.84","19877276"
"Yolo","2022","3","30.74","6798617"
"Alameda","2022","2","47.68","78777672"
"Calaveras","2022","2","64.54","2907867"
"Contra Costa","2022","2","25.4","29384898"
"Del Norte","2022","2","32.31","879631"
"El Dorado","2022","2","68.14","12978506"
"Fresno","2022","2","5.33","5390754"
"Humboldt","2022","2","73.57","9945473"
"Imperial","2022","2","30.39","5450656"
"Inyo","2022","2","65.16","1236745"
"Kern","2022","2","5.65","5147411"
"Kings","2022","2","62.35","9479448"
"Lake","2022","2","28.61","1928739"
"Los Angeles","2022","2","39.87","393264845"
"Marin","2022","2","17.31","4453191"
"Mendocino","2022","2","70.18","6316618"
"Merced","2022","2","36.81","10469078"
"Mono","2022","2","99.11","1326107"
"Monterey","2022","2","44.46","19283790"
"Napa","2022","2","25.47","3468506"
"Orange","2022","2","23.21","73416435"
"Riverside","2022","2","44.44","108258256"
"Sacramento","2022","2","47.02","74135741"
"San Bernardino","2022","2","19.09","41776362"
"San Diego","2022","2","48.11","158179923"
"San Francisco","2022","2","68.2","57483135"
"San Joaquin","2022","2","18.63","14613980"
"San Luis Obispo","2022","2","64.07","17987271"
"San Mateo","2022","2","18.93","14097264"
"Santa Barbara","2022","2","39.04","17381571"
"Santa Clara","2022","2","27.72","52526190"
"Santa Cruz","2022","2","62.5","16661656"
"Shasta","2022","2","61.36","11078981"
"Siskiyou","2022","2","36.09","1581842"
"Solano","2022","2","51.48","23024040"
"Sonoma","2022","2","58.35","28148686"
"Stanislaus","2022","2","69.71","38307335"
"Tulare","2022","2","30.24","14365965"
"Tuolumne","2022","2","31.86","1761822"
"Undisclosed","2022","2","","10505469"
"Ventura","2022","2","27.55","22969243"
"Yolo","2022","2","35.11","7766298"
"Yuba","2022","2","55.09","4532794"
"Alameda","2022","1","43.44","71771860"
"Calaveras","2022","1","58.7","2644422"
"Contra Costa","2022","1","24.13","27915755"
"Del Norte","2022","1","29.82","811809"
"El Dorado","2022","1","45.58","8683000"
"Fresno","2022","1","4.48","4536957"
"Humboldt","2022","1","61.51","8314663"
"Imperial","2022","1","32.82","5885743"
"Kern","2022","1","5.85","5325026"
"Kings","2022","1","61.57","9360612"
"Lake","2022","1","27.09","1826459"
"Los Angeles","2022","1","38.92","383860938"
"Marin","2022","1","14.88","3827715"
"Mendocino","2022","1","63.27","5695089"
"Merced","2022","1","37.54","10676174"
"Mono","2022","1","98.02","1311491"
"Monterey","2022","1","42.23","18319366"
"Napa","2022","1","18.69","2545623"
"Nevada","2022","1","49.28","4990025"
"Orange","2022","1","21.91","69298350"
"Riverside","2022","1","45.04","109697510"
"Sacramento","2022","1","47.31","74590734"
"San Bernardino","2022","1","14.09","30839177"
"San Diego","2022","1","39.89","131135747"
"San Francisco","2022","1","66.47","56019866"
"San Joaquin","2022","1","18.68","14655711"
"San Luis Obispo","2022","1","53.25","14949283"
"San Mateo","2022","1","22.61","16839695"
"Santa Barbara","2022","1","37.25","16582951"
"Santa Clara","2022","1","27.61","52327911"
"Santa Cruz","2022","1","58.85","15687746"
"Shasta","2022","1","59.46","10735185"
"Siskiyou","2022","1","33.06","1449298"
"Solano","2022","1","41.58","18597737"
"Sonoma","2022","1","52","25085140"
"Stanislaus","2022","1","72.1","39619045"
"Tulare","2022","1","30.02","14261984"
"Undisclosed","2022","1","","11732462"
"Ventura","2022","1","21.47","17900696"
"Yolo","2022","1","35.52","7856172"
"Alameda","2021","4","48.25","80220452"
"Calaveras","2021","4","60","2715311"
"Contra Costa","2021","4","26.36","30616972"
"Del Norte","2021","4","28.49","786164"
"El Dorado","2021","4","46.25","8837516"
"Fresno","2021","4","3.56","3595182"
"Humboldt","2021","4","79.22","10739169"
"Imperial","2021","4","45.59","8183308"
"Inyo","2021","4","56.45","1071676"
"Kern","2021","4","6.52","5922085"
"Kings","2021","4","65.08","9831592"
"Lake","2021","4","26.37","1784438"
"Los Angeles","2021","4","40.73","404542828"
"Marin","2021","4","16.32","4236046"
"Mendocino","2021","4","68.79","6237640"
"Merced","2021","4","40.16","11321783"
"Mono","2021","4","95.07","1264380"
"Monterey","2021","4","46.21","20137432"
"Napa","2021","4","24.09","3313761"
"Nevada","2021","4","46.03","4691447"
"Orange","2021","4","23.42","74241268"
"Riverside","2021","4","49.06","118970241"
"Sacramento","2021","4","51.83","81935990"
"San Bernardino","2021","4","15.17","33107390"
"San Diego","2021","4","45.64","150109809"
"San Francisco","2021","4","80.48","68366994"
"San Joaquin","2021","4","19.92","15590990"
"San Luis Obispo","2021","4","52.18","14596207"
"San Mateo","2021","4","25.08","18850486"
"Santa Barbara","2021","4","52.49","23292737"
"Santa Clara","2021","4","28.42","54217056"
"Santa Cruz","2021","4","65.11","17357306"
"Shasta","2021","4","63.91","11633169"
"Siskiyou","2021","4","35.27","1549469"
"Solano","2021","4","42.58","19160971"
"Sonoma","2021","4","55.48","26892534"
"Stanislaus","2021","4","78.32","43213640"
"Trinity","2021","4","3.38","54403"
"Tulare","2021","4","31.63","14995410"
"Undisclosed","2021","4","","6627827"
"Ventura","2021","4","21.28","17882367"
"Yolo","2021","4","39.49","8579077"
"Yuba","2021","4","55.2","4526517"
"Alameda","2021","3","48.85","81207341"
"Calaveras","2021","3","74.6","3375890"
"Contra Costa","2021","3","26.34","30591805"
"Del Norte","2021","3","33.9","935606"
"El Dorado","2021","3","48.57","9279554"
"Fresno","2021","3","2.42","2448298"
"Humboldt","2021","3","86.51","11727940"
"Imperial","2021","3","28.66","5145468"
