Reporting_date,County,Total_Sales
2016-10-01,WASHINGTON,1980.6
2016-10-01,WASHINGTON,25125.84
2016-10-01,CLACKAMAS,238.8
2016-10-01,CLACKAMAS,4416.94
2016-10-01,LINCOLN,4466.93
2016-10-01,WASHINGTON,4116.36
2016-10-01,WASHINGTON,51582.31
2016-10-01,CLATSOP,2249
2016-10-01,CLATSOP,10808
2016-10-01,WASHINGTON,822.12
2016-10-01,WASHINGTON,9773.88
2016-10-01,MULTNOMAH,91286.55
2016-10-01,MULTNOMAH,622339.37
2016-10-01,MULTNOMAH,39730.56
2016-10-01,MULTNOMAH,21365.15
2016-10-01,MULTNOMAH,240624.24
2016-10-01,MULTNOMAH,26073.4
2016-10-01,YAMHILL,411.44
2016-10-01,YAMHILL,9081
2016-10-01,LINCOLN,16649.81
2016-10-01,LANE,139.6
2016-10-01,LANE,701.81
2016-10-01,LANE,4219.62
2016-10-01,LANE,9483.99
2016-10-01,HOOD RIVER,1650.81
2016-10-01,HOOD RIVER,15717.61
2016-10-01,YAMHILL,1802.2
2016-10-01,YAMHILL,38654.15
2016-10-01,JACKSON,80
2016-10-01,JACKSON,9159.04
2016-10-01,JACKSON,51
2016-10-01,JACKSON,23396.25
2016-10-01,HOOD RIVER,2024.15
2016-10-01,HOOD RIVER,21414.29
2016-10-01,LINCOLN,2060.6
2016-10-01,DESCHUTES,4619.01
2016-10-01,DESCHUTES,56737.77
2016-10-01,CLATSOP,570.5
2016-10-01,CLATSOP,3177
2016-10-01,HOOD RIVER,489.83
2016-10-01,HOOD RIVER,4584.65
2016-10-01,HOOD RIVER,3090.14
2016-10-01,HOOD RIVER,61443.07
2016-10-01,JACKSON,28847.32
2016-10-01,JACKSON,66499.13
2016-10-01,TILLAMOOK,56
2016-10-01,MULTNOMAH,7014.15
2016-10-01,MULTNOMAH,623.25
2016-10-01,MULTNOMAH,40304.17
2016-10-01,MULTNOMAH,1793.32
2016-10-01,CLACKAMAS,40.5
2016-10-01,CLACKAMAS,30
2016-10-01,TILLAMOOK,24
2016-10-01,DESCHUTES,218.36
2016-10-01,DESCHUTES,6546.11
2016-10-01,JACKSON,24766.09
2016-10-01,JACKSON,124808.26
2016-10-01,YAMHILL,1299.17
2016-10-01,YAMHILL,12858.33
2016-10-01,CLACKAMAS,223.05
2016-10-01,CLACKAMAS,359.68
2016-10-01,LANE,6358.8
2016-10-01,LANE,30798.61
2016-10-01,LINCOLN,3102.56
2016-10-01,LANE,1685.09
2016-10-01,LANE,6203.84
2016-10-01,JACKSON,5446.35
2016-10-01,JACKSON,21861.33
2016-10-01,MARION,2021.51
2016-10-01,MARION,19482.83
2016-10-01,CLACKAMAS,144
2016-10-01,CLACKAMAS,803.2
2016-10-01,WASHINGTON,10274.21
2016-10-01,WASHINGTON,190621.27
2016-10-01,MARION,10032.91
2016-10-01,MARION,54155.81
2016-10-01,BAKER,441
2016-10-01,BAKER,58637.51
2016-10-01,DESCHUTES,174.67
2016-10-01,DESCHUTES,9588.78
2016-10-01,CLATSOP,6653.24
2016-10-01,CLATSOP,42128.05
2016-10-01,MARION,686.18
2016-10-01,MARION,957
2016-10-01,TILLAMOOK,414.65
2016-10-01,MARION,22152.23
2016-10-01,MARION,133437.14
2016-10-01,CLATSOP,184
2016-10-01,CLATSOP,1014
2016-10-01,YAMHILL,51.81
2016-10-01,YAMHILL,1606.13
2016-10-01,TILLAMOOK,676.83
2016-10-01,TILLAMOOK,1799.44
2016-10-01,DESCHUTES,50
2016-10-01,DESCHUTES,1087.4
2016-10-01,MULTNOMAH,21966.41
2016-10-01,MULTNOMAH,852.5
2016-10-01,MULTNOMAH,819.13
2016-10-01,MULTNOMAH,109630.06
2016-11-01,YAMHILL,4209.69
2016-11-01,YAMHILL,53482.11
2016-11-01,CLACKAMAS,2116.15
2016-11-01,CLACKAMAS,17086.67
2016-11-01,COLUMBIA,23.25
2016-11-01,COLUMBIA,694.31
2016-11-01,LINCOLN,182.6
2016-11-01,LINCOLN,3153.94
2016-11-01,CLACKAMAS,981.5
2016-11-01,CLACKAMAS,2315.28
2016-11-01,COLUMBIA,32
2016-11-01,COLUMBIA,171
2016-11-01,MARION,28192.14
2016-11-01,MARION,252676.95
2016-11-01,CLATSOP,5651.65
2016-11-01,CLATSOP,44134.7
2016-11-01,CLATSOP,226
2016-11-01,CLATSOP,3299
2016-11-01,MULTNOMAH,492.7
2016-11-01,MULTNOMAH,13790.06
2016-11-01,MULTNOMAH,64783.66
2016-11-01,MULTNOMAH,1739.7
2016-11-01,COLUMBIA,446.68
2016-11-01,COLUMBIA,35779.54
2016-11-01,LINCOLN,2283.98
2016-11-01,LINCOLN,23399.82
2016-11-01,BAKER,1686.1
2016-11-01,BAKER,188477.52
2016-11-01,DOUGLAS,4387.92
2016-11-01,HOOD RIVER,1756.73
2016-11-01,HOOD RIVER,15644.1
2016-11-01,DESCHUTES,8269.51
2016-11-01,DESCHUTES,20733.89
2016-11-01,WASHINGTON,3820.04
2016-11-01,WASHINGTON,40963.17
2016-11-01,YAMHILL,147
2016-11-01,YAMHILL,1626.54
2016-11-01,MARION,19.5
2016-11-01,MARION,4899.36
2016-11-01,MARION,36910.31
2016-11-01,MARION,123.5
2016-11-01,WASHINGTON,10385.48
2016-11-01,WASHINGTON,74363.24
2016-11-01,WASHINGTON,1262.25
2016-11-01,WASHINGTON,18261.15
2016-11-01,WASHINGTON,31402.45
2016-11-01,WASHINGTON,374399.28
2016-11-01,LANE,1524.6
2016-11-01,LANE,11682.65
2016-11-01,CLACKAMAS,871.4
2016-11-01,CLACKAMAS,338.96
2016-11-01,DESCHUTES,31187.85
2016-11-01,DESCHUTES,158114.26
2016-11-01,DOUGLAS,30604.47
2016-11-01,MARION,502.25
2016-11-01,MARION,4568.52
2016-11-01,TILLAMOOK,4605.38
2016-11-01,TILLAMOOK,51758.11
2016-11-01,DOUGLAS,68258.38
2016-11-01,HOOD RIVER,2544.5
2016-11-01,HOOD RIVER,22124.52
2016-11-01,JACKSON,3544.42
2016-11-01,JACKSON,11674.63
2016-11-01,MARION,1430.94
2016-11-01,MARION,8072.32
2016-11-01,MULTNOMAH,1779.78
2016-11-01,MULTNOMAH,28419.16
2016-11-01,MULTNOMAH,154698.69
2016-11-01,MULTNOMAH,7230.99
2016-11-01,MULTNOMAH,29877.02
2016-11-01,MULTNOMAH,51622.13
2016-11-01,MULTNOMAH,72553.69
2016-11-01,MULTNOMAH,320934.74
2016-11-01,LINCOLN,4599.71
2016-11-01,LINCOLN,64958.16
2016-11-01,TILLAMOOK,184
2016-11-01,YAMHILL,791.31
2016-11-01,YAMHILL,8504.05
2016-11-01,JACKSON,6922.85
2016-11-01,JACKSON,45
2016-11-01,JACKSON,15586.39
2016-11-01,JACKSON,36.75
2016-11-01,CLATSOP,311.5
2016-11-01,CLATSOP,1819
2016-11-01,CLATSOP,122
2016-11-01,CLATSOP,583
2016-11-01,TILLAMOOK,15261.05
2016-11-01,DESCHUTES,2344.83
2016-11-01,DESCHUTES,10104.31
2016-11-01,LANE,323.2
2016-11-01,LANE,1217.79
2016-11-01,COLUMBIA,460.25
2016-11-01,COLUMBIA,3078.55
2016-11-01,JACKSON,22859.31
2016-11-01,JACKSON,120361.42
2016-11-01,HOOD RIVER,433.54
2016-11-01,HOOD RIVER,3363.78
2016-11-01,LANE,13693.31
2016-11-01,LANE,165038.15
2016-11-01,DESCHUTES,4652.11
2016-11-01,DESCHUTES,13884.55
2016-11-01,CLACKAMAS,85
2016-11-01,CLACKAMAS,486.23
2016-11-01,JACKSON,28
2016-11-01,JACKSON,11153.21
2016-11-01,JACKSON,23277.43
2016-11-01,JACKSON,60
2016-11-01,TILLAMOOK,1383.47
2016-11-01,HOOD RIVER,3555.39
2016-11-01,HOOD RIVER,59309.06
2016-11-01,YAMHILL,771.31
2016-11-01,YAMHILL,13569.61
2016-11-01,CURRY,3074
2016-11-01,MULTNOMAH,136125.4
2016-11-01,MULTNOMAH,1246698.78
