County,Begin_Reporting_Period,End_Reporting_Period,Total_Sales,Excise_Tax,Producer_Total,Producer_Excise,Processor_Total,Processor_Excise,Retailer_Total,Retailer_Excise
ASOTIN,2014-07-01,2015-06-30,78389.95,19597.49,0.0,0.0,0.0,0.0,78389.95,19597.49
BENTON,2014-07-01,2015-06-30,5123127.17,1280781.81,1063141.1,265785.29,1219614.25,304903.56,2840371.82,710092.96
CHELAN,2014-07-01,2015-06-30,6383821.84,1595955.5,955129.66,238782.45,4036613.19,1009153.29,1392078.99,348019.76
CLALLAM,2014-07-01,2015-06-30,1877875.04,469468.77,6723.16,1680.79,470747.1,117686.78,1400404.78,350101.2
CLARK,2014-07-01,2015-06-30,2.700761327E7,6751903.34,17211.27,4302.82,2258140.44,564535.12,2.473226156E7,6183065.4
COWLITZ,2014-07-01,2015-06-30,6178816.21,1544704.06,155860.93,38965.24,1439293.42,359823.36,4583661.86,1145915.46
DOUGLAS,2014-07-01,2015-06-30,3281503.12,820375.79,49271.48,12317.88,1718435.08,429608.77,1513796.56,378449.14
FERRY,2014-07-01,2015-06-30,203909.65,50977.42,7466.38,1866.6,196443.27,49110.82,0.0,0.0
FRANKLIN,2014-07-01,2015-06-30,154452.55,38613.14,0.0,0.0,154452.55,38613.14,0.0,0.0
GRANT,2014-07-01,2015-06-30,1876614.41,469153.61,16354.65,4088.66,534559.93,133639.99,1325699.83,331424.96
GRAYS HARBOR,2014-07-01,2015-06-30,1155160.61,288790.15,41324.04,10331.01,133407.6,33351.9,980428.97,245107.24
ISLAND,2014-07-01,2015-06-30,1358382.33,339595.59,0.0,0.0,173347.68,43336.92,1185034.65,296258.67
JEFFERSON,2014-07-01,2015-06-30,1725043.67,431260.92,5212.0,1303.0,188926.02,47231.5,1530905.65,382726.42
KING,2014-07-01,2015-06-30,5.902202785E7,1.475550705E7,57251.73,14312.94,1.079834037E7,2699585.12,4.816643575E7,1.204160899E7
KITSAP,2014-07-01,2015-06-30,5810182.22,1452545.59,35608.85,8902.22,838476.21,209619.06,4936097.16,1234024.31
KITTITAS,2014-07-01,2015-06-30,3871972.04,967993.03,55333.8,13833.45,2442218.54,610554.65,1374419.7,343604.93
KLICKITAT,2014-07-01,2015-06-30,3661394.27,915348.58,170238.45,42559.61,2139919.79,534979.96,1351236.03,337809.01
LEWIS,2014-07-01,2015-06-30,208480.02,52120.01,161662.67,40415.67,0.0,0.0,208480.02,52120.01
LINCOLN,2014-07-01,2015-06-30,2532930.36,633232.59,0.0,0.0,2371267.69,592816.92,0.0,0.0
MASON,2014-07-01,2015-06-30,2865833.64,716458.42,364683.27,91170.82,2135419.23,533854.81,365731.14,91432.79
OKANOGAN,2014-07-01,2015-06-30,3504809.02,876202.31,343891.85,85972.99,2543184.28,635796.09,617732.89,154433.23
PACIFIC,2014-07-01,2015-06-30,4924707.18,1231176.82,1296.26,324.07,4575346.51,1143836.64,348064.41,87016.11
PEND OREILLE,2014-07-01,2015-06-30,173176.63,43294.16,18404.98,4601.25,154771.65,38692.91,0.0,0.0
PIERCE,2014-07-01,2015-06-30,1.876708997E7,4691772.52,29933.62,7483.41,2312247.37,578061.85,1.642490898E7,4106227.26
SAN JUAN,2014-07-01,2015-06-30,808337.74,202084.44,26393.85,6598.47,530837.64,132709.41,251106.25,62776.56
SKAGIT,2014-07-01,2015-06-30,4507047.28,1126761.83,32809.4,8202.35,70515.92,17628.99,4403721.96,1100930.49
SKAMANIA,2014-07-01,2015-06-30,351594.03,87898.51,0.0,0.0,0.0,0.0,351594.03,87898.51
SNOHOMISH,2014-07-01,2015-06-30,2.614685062E7,6536712.69,271489.44,67872.38,8423537.96,2105884.5,1.745182322E7,4362955.81
SPOKANE,2014-07-01,2015-06-30,3.713465856E7,9283664.74,816235.97,204059.05,1.421794555E7,3554486.42,2.210047704E7,5525119.27
STEVENS,2014-07-01,2015-06-30,1679053.21,419763.31,21508.86,5377.22,661286.72,165321.68,996257.63,249064.41
THURSTON,2014-07-01,2015-06-30,9951728.55,2487932.17,134341.19,33585.32,3929485.46,982371.36,5887901.9,1471975.49
WAHKIAKUM,2014-07-01,2015-06-30,249839.5,62459.88,24.0,6.0,249815.5,62453.88,0.0,0.0
WALLA WALLA,2014-07-01,2015-06-30,94795.81,23698.96,54970.06,13742.52,39825.75,9956.44,0.0,0.0
WHATCOM,2014-07-01,2015-06-30,1.144688237E7,2861720.65,200519.01,50129.76,3240875.29,810218.86,8005488.07,2001372.03
WHITMAN,2014-07-01,2015-06-30,2059984.76,514996.2,3964.88,991.23,38350.97,9587.74,2017668.91,504417.23
YAKIMA,2014-07-01,2015-06-30,3344236.72,836059.19,5531.38,1382.85,529802.85,132450.71,2808902.49,702225.63
ALL COUNTIES TOTAL,2014-07-01,2015-06-30,2.5952232217E8,6.488058124E7,5123788.19,1280947.32,7.476745178E7,1.869186315E7,1.796310822E8,4.490777077E7
