County,Begin_Reporting_Period,End_Reporting_Period,Total Sales,Excise Tax,Producer Total,Producer Excise,Processor Total,Processor Excise,Retail Total,Retail Excise
ADAMS,2016-07-01,2017-06-30,5915096.24,404162.42,3598762.99,0.0,1224002.34,0.0,1092330.91,404162.42
ASOTIN,2016-07-01,2017-06-30,7916487.11,2923499.13,0.0,0.0,15138.08,0.0,7901349.03,2923499.13
BENTON,2016-07-01,2017-06-30,2.1649073060000002E7,5500952.1,2470055.97,0.0,4311578.99,0.0,1.48674381E7,5500952.1
CHELAN,2016-07-01,2017-06-30,2.580230385E7,2756331.4899999998,4002283.19,0.0,1.435046782E7,-3.14,7449552.84,2756334.63
CLALLAM,2016-07-01,2017-06-30,1.4961463690000001E7,3948532.28,199197.06,0.0,4090557.81,0.0,1.067170882E7,3948532.28
CLARK,2016-07-01,2017-06-30,7.108278847E7,2.1027460150000002E7,1555803.81,0.0,1.269484331E7,-432.15,5.683214135E7,2.10278923E7
COWLITZ,2016-07-01,2017-06-30,3.6065292879999995E7,5495108.13,2514035.31,0.0,1.869959709E7,-6.25,1.485166048E7,5495114.38
DOUGLAS,2016-07-01,2017-06-30,7239915.33,933395.05,676234.13,0.0,4040991.88,0.0,2522689.32,933395.05
FERRY,2016-07-01,2017-06-30,2587896.55,276302.14,384794.67,0.0,1456163.66,-65.0,746938.22,276367.14
FRANKLIN,2016-07-01,2017-06-30,73222.97,0.0,33826.47,0.0,39396.5,0.0,0.0,0.0
GRANT,2016-07-01,2017-06-30,1.5833645989999998E7,2891801.72,4940869.67,0.0,3077096.05,0.0,7815680.27,2891801.72
GRAYS HARBOR,2016-07-01,2017-06-30,2.1074253759999998E7,4205003.72,1145205.0,0.0,8564173.85,0.0,1.136487491E7,4205003.72
ISLAND,2016-07-01,2017-06-30,1.014854396E7,3205279.85,129865.64,0.0,1355759.77,0.0,8662918.55,3205279.85
JEFFERSON,2016-07-01,2017-06-30,8493097.9,1865683.17,563832.48,0.0,2886878.6,0.0,5042386.82,1865683.17
KING,2016-07-01,2017-06-30,3.2059157513E8,9.208759955999999E7,2938739.5,0.0,6.876332379E7,-1519.79,2.4888951184E8,9.208911935E7
KITSAP,2016-07-01,2017-06-30,3.559035183E7,1.083043515E7,355729.94,0.0,5962020.24,-427.48,2.927260165E7,1.083086263E7
KITTITAS,2016-07-01,2017-06-30,1.301189382E7,2303464.76,842354.14,0.0,5943959.28,0.0,6225580.4,2303464.76
KLICKITAT,2016-07-01,2017-06-30,6669141.609999999,1102309.55,1780653.12,0.0,1909273.47,0.0,2979215.02,1102309.55
LEWIS,2016-07-01,2017-06-30,6650107.24,1785571.7,1605.84,0.0,1822631.99,0.0,4825869.41,1785571.7
LINCOLN,2016-07-01,2017-06-30,5789912.85,-0.29,794167.97,0.0,4995744.88,-0.29,0.0,0.0
MASON,2016-07-01,2017-06-30,1.8583999270000003E7,2320198.7,1699299.98,0.0,1.061387588E7,-6.0,6270823.41,2320204.7
OKANOGAN,2016-07-01,2017-06-30,2.177982818E7,971721.5499999999,7286012.53,-2258.15,1.186143803E7,0.0,2632377.62,973979.7
PACIFIC,2016-07-01,2017-06-30,1.911692216E7,951909.0900000001,803190.17,0.0,1.574002111E7,-363.95,2573710.88,952273.04
PEND OREILLE,2016-07-01,2017-06-30,875907.69,58230.12,13200.5,0.0,705328.51,0.0,157378.68,58230.12
PIERCE,2016-07-01,2017-06-30,1.260214715E8,3.665810022E7,3117892.78,0.0,2.382763218E7,0.0,9.907594654E7,3.665810022E7
SAN JUAN,2016-07-01,2017-06-30,1918189.59,331950.17,26665.92,0.0,994361.02,0.0,897162.65,331950.17
SKAGIT,2016-07-01,2017-06-30,2.91622512E7,6490021.1,1915548.47,0.0,9706105.17,0.0,1.754059756E7,6490021.1
SKAMANIA,2016-07-01,2017-06-30,1423103.47,366776.51,2460.0,0.0,429355.6,0.0,991287.87,366776.51
SNOHOMISH,2016-07-01,2017-06-30,1.410499103E8,3.300781407E7,5007463.22,0.0,4.683020306E7,-716.29,8.921224402E7,3.300853036E7
SPOKANE,2016-07-01,2017-06-30,1.6705455982E8,3.3513677669999998E7,7917842.64,0.0,6.855891194E7,-110.32,9.057780524E7,3.351378799E7
STEVENS,2016-07-01,2017-06-30,1.229105897E7,976647.89,1453914.52,0.0,8197555.56,0.0,2639588.89,976647.89
THURSTON,2016-07-01,2017-06-30,1.0438822450999999E8,1.483910603E7,4140631.85,0.0,6.014029355E7,-594.65,4.010729911E7,1.483970068E7
WAHKIAKUM,2016-07-01,2017-06-30,278140.93,0.0,19028.2,0.0,259112.73,0.0,0.0,0.0
WALLA WALLA,2016-07-01,2017-06-30,6826513.07,2325716.85,242142.39,0.0,298649.42,0.0,6285721.26,2325716.85
WHATCOM,2016-07-01,2017-06-30,5.239939807000001E7,1.051810592E7,2414168.58,0.0,2.155781098E7,-38.98,2.842741851E7,1.05181449E7
WHITMAN,2016-07-01,2017-06-30,9194206.82,2937017.6,388879.87,0.0,867441.57,0.0,7937885.38,2937017.6
YAKIMA,2016-07-01,2017-06-30,2.22861016E7,5029775.26,2390844.4,0.0,6301131.56,-51.26,1.359412564E7,5029826.52
ALL COUNTIES TOTAL,2016-07-01,2017-06-30,1.37179585139E9,3.1483966053E8,6.776720292E7,-2258.15,4.5309282727E8,-4335.55,8.509358212E8,3.1484625423E8
