County,Begin_Reporting_Period,End_Reporting_Period,Total_Sales,Excise_Tax
ADAMS,2020-07-01,2021-06-30,2339901.53,865763.56
ASOTIN,2020-07-01,2021-06-30,1.534636946E7,5678614.3
BENTON,2020-07-01,2021-06-30,3.956288263E7,1.463830107E7
CHELAN,2020-07-01,2021-06-30,1.481962321E7,5483265.72
CLALLAM,2020-07-01,2021-06-30,1.721558979E7,6369927.31
CLARK,2020-07-01,2021-06-30,9.326762022E7,3.451318248E7
COLUMBIA,2020-07-01,2021-06-30,1029602.03,380952.75
COWLITZ,2020-07-01,2021-06-30,2.516883753E7,9312494.69
DOUGLAS,2020-07-01,2021-06-30,5694397.67,2106927.14
FERRY,2020-07-01,2021-06-30,1376695.77,509377.44
GRANT,2020-07-01,2021-06-30,1.61025165E7,5965240.02
GRAYS HARBOR,2020-07-01,2021-06-30,2.101313716E7,7774921.67
ISLAND,2020-07-01,2021-06-30,1.40354646E7,5193201.44
JEFFERSON,2020-07-01,2021-06-30,7040955.21,2605153.44
KING,2020-07-01,2021-06-30,3.8274786891E8,1.4162468765E8
KITSAP,2020-07-01,2021-06-30,4.904067761E7,1.814505421E7
KITTITAS,2020-07-01,2021-06-30,1.023611327E7,3789607.02
KLICKITAT,2020-07-01,2021-06-30,2735448.57,1012141.48
LEWIS,2020-07-01,2021-06-30,9503534.49,3516328.04
LINCOLN,2020-07-01,2021-06-30,1366879.49,505745.4
MASON,2020-07-01,2021-06-30,1.465007477E7,5420527.73
OKANOGAN,2020-07-01,2021-06-30,8696816.96,3217826.96
PACIFIC,2020-07-01,2021-06-30,5027572.87,1860201.97
PEND OREILLE,2020-07-01,2021-06-30,730472.53,270274.82
PIERCE,2020-07-01,2021-06-30,1.9022544607E8,7.038341503E7
SAN JUAN,2020-07-01,2021-06-30,3833958.99,1418577.13
SKAGIT,2020-07-01,2021-06-30,2.911725144E7,1.077339416E7
SKAMANIA,2020-07-01,2021-06-30,1265369,468191.99
SNOHOMISH,2020-07-01,2021-06-30,1.5677298532E8,5.800632989E7
SPOKANE,2020-07-01,2021-06-30,1.6376520024E8,6.059455533E7
STEVENS,2020-07-01,2021-06-30,7862879.9,2909265.6
THURSTON,2020-07-01,2021-06-30,7.648298727E7,2.829915708E7
WAHKIAKUM,2020-07-01,2021-06-30,658043.34,243476.06
WALLA WALLA,2020-07-01,2021-06-30,1.105565255E7,4090668.68
WHATCOM,2020-07-01,2021-06-30,4.758381842E7,1.760611508E7
WHITMAN,2020-07-01,2021-06-30,1.320628119E7,4886329.76
YAKIMA,2020-07-01,2021-06-30,3.649994224E7,1.350497866E7
ALL COUNTIES TOTAL,2020-07-01,2021-06-30,1.49707886875E9,5.5394417276E8
