Begin_reporting_period,End_reporting_period,Producer_sales,Processor_sales,Retailer_sales,Total_sales,Producer_excise_due,Processor_excise_due,Retailer_excise_due,Total_excise_due
2014-06-01,2014-06-30,6300.0,0.0,0.0,6300.0,1575.0,0.0,0.0,1575.0
2014-07-01,2014-07-31,182641.8,1207810.66,1846760.23,3237212.69,45660.469999999994,301952.68,461690.1,809303.25
2014-08-01,2014-08-31,146839.40999999997,2351566.0399999996,4555324.529999998,7053729.979999999,36709.87,587891.5399999999,1138831.1899999997,1763432.5999999996
2014-09-01,2014-09-30,262089.53999999998,2559076.49,5806226.010000002,8627392.040000003,65522.40000000001,639769.1499999999,1451556.58,2156848.13
2014-10-01,2014-10-31,722075.0099999999,4583164.42,7746265.529999998,1.3051504959999997E7,180518.81000000003,1145791.1600000001,1936566.4599999995,3262876.4299999997
2014-11-01,2014-11-30,1909977.8400000003,5081282.6499999985,9091369.03,1.6082629519999998E7,477494.53,1270320.7999999996,2272842.329999999,4020657.6599999988
2014-12-01,2014-12-31,614575.3400000001,4865101.409999997,1.160549162E7,1.7085168369999997E7,153643.86000000004,1216275.4300000002,2901372.96,4271292.25
2015-01-01,2015-01-31,264436.45999999996,5499945.049999999,1.309642275E7,1.8860804259999998E7,66109.16,1374986.4099999995,3274105.81,4715201.379999999
2015-02-01,2015-02-28,191925.78000000003,6503696.579999999,1.6085904309999997E7,2.2781526669999994E7,47981.48000000001,1625924.369999999,4021476.24,5695382.089999999
2015-03-01,2015-03-31,281699.2499999999,8247658.180000001,2.136280727E7,2.98921647E7,70424.85999999999,2061914.7899999993,5340701.96,7473041.609999999
2015-04-01,2015-04-30,477288.98999999993,9877689.409999995,2.4854351310000002E7,3.520932970999999E7,119322.34999999999,2469422.5499999975,6213587.99,8802332.889999997
2015-05-01,2015-05-31,341022.04000000015,1.097869098E7,3.030347917999998E7,4.162319219999998E7,85255.57999999999,2744673.0899999966,7575869.960000002,1.0405798629999999E7
2015-06-01,2015-06-30,527571.3300000001,1.2214126010000002E7,3.3276680419999987E7,4.601837775999999E7,131892.95,3053531.8599999966,8319170.349999999,1.1504595159999996E7
2015-07-01,2015-07-31,940193.5900000001,1.5204954959999992E7,3.145470539999998E7,4.759985394999997E7,-3837.75,-3155.8000000000006,1.1638240959999995E7,1.1631247409999995E7
2015-08-01,2015-08-31,1364310.7499999998,1.6880307149999995E7,3.525325614999998E7,5.349787404999998E7,-338.25,-3420.8300000000004,1.3043704760000002E7,1.3039945680000002E7
