County,Begin Reporting Period,End Reporting Period,Total Sales,Excise Tax
ADAMS,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,1796583.87,664736.03
ASOTIN,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,9465277.72,3502152.76
BENTON,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,1.89164467E7,6999085.29
CHELAN,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,8904570.12,3294690.95
CLALLAM,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,1.200957724E7,4443543.57
CLARK,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,6.410905242E7,2.372034941E7
COLUMBIA,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,244597.98,90501.25
COWLITZ,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,1.621140069E7,5998218.26
DOUGLAS,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,2877573.24,1064702.1
FERRY,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,773055.17,286030.41
GRANT,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,9850622.53,3644730.33
GRAYS HARBOR,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,1.23643925E7,4574825.23
ISLAND,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,1.015918227E7,3758897.44
JEFFERSON,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,5311378.74,1965210.14
KING,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,2.7823082469E8,1.0294540513E8
KITSAP,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,3.334733781E7,1.233851499E7
KITTITAS,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,7210161.08,2667759.59
KLICKITAT,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,2732130.53,1010888.29
LEWIS,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,5452366.73,2017375.69
LINCOLN,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,117414.94,43443.52
MASON,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,6885436.49,2547611.5
OKANOGAN,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,4204854.06,1555796.02
PACIFIC,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,3665380.61,1356190.83
PEND OREILLE,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,343158.54,126968.66
PIERCE,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,1.1153387739E8,4.126753462E7
SAN JUAN,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,2165796.67,801344.77
SKAGIT,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,2.035465596E7,7531222.71
SKAMANIA,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,1143193.17,422981.48
SNOHOMISH,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,1.0383287321E8,3.841816308E7
SPOKANE,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,1.0069941012E8,3.725878176E7
STEVENS,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,3109360.85,1150463.52
THURSTON,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,4.704092303E7,1.740514154E7
WAHKIAKUM,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,202442.37,74903.68
WALLA WALLA,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,7026469.92,2599793.87
WHATCOM,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,3.17296184E7,1.173995881E7
WHITMAN,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,9220054.87,3411420.3
YAKIMA,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,1.928579299E7,7135743.4
ALL COUNTIES TOTAL,2017-07-01T00:00:00Z,2018-06-30T00:00:00Z,9.7252724562E8,3.5983508093E8
