County,Begin_Reporting_Period,End_Reporting_Period,Total_Sales,Excise_Tax
ADAMS,2021-07-01,2022-06-30,2004027.07,741490.03
ASOTIN,2021-07-01,2022-06-30,1.416535362E7,5241326.16
BENTON,2021-07-01,2022-06-30,3.996061633E7,1.478544268E7
CHELAN,2021-07-01,2022-06-30,1.400237331E7,5180879.89
CLALLAM,2021-07-01,2022-06-30,1.554516691E7,5751715.98
CLARK,2021-07-01,2022-06-30,8.389780873E7,3.104409928E7
COLUMBIA,2021-07-01,2022-06-30,918753.84,339938.92
COWLITZ,2021-07-01,2022-06-30,2.457122427E7,9091402.79
DOUGLAS,2021-07-01,2022-06-30,5147580.0,1904604.61
FERRY,2021-07-01,2022-06-30,1391976.61,515031.35
GRANT,2021-07-01,2022-06-30,1.483181253E7,5565251.73
GRAYS HARBOR,2021-07-01,2022-06-30,1.839890038E7,6807601.05
ISLAND,2021-07-01,2022-06-30,1.29955947E7,4808470.45
JEFFERSON,2021-07-01,2022-06-30,6251373.07,2313020.74
KING,2021-07-01,2022-06-30,3.5614221632E8,1.3177838359E8
KITSAP,2021-07-01,2022-06-30,4.568113398E7,1.69020262E7
KITTITAS,2021-07-01,2022-06-30,9519911.15,3522367.16
KLICKITAT,2021-07-01,2022-06-30,2416791.23,894228.29
LEWIS,2021-07-01,2022-06-30,8822255.04,3264288.32
LINCOLN,2021-07-01,2022-06-30,1391684.17,514923.17
MASON,2021-07-01,2022-06-30,1.404003528E7,5194813.09
OKANOGAN,2021-07-01,2022-06-30,7891402.8,2919822.21
PACIFIC,2021-07-01,2022-06-30,4989181.05,1845996.99
PEND OREILLE,2021-07-01,2022-06-30,1164932.49,431025.01
PIERCE,2021-07-01,2022-06-30,1.6792664561E8,6.213305432E7
SAN JUAN,2021-07-01,2022-06-30,3588446.84,1327728.2
SKAGIT,2021-07-01,2022-06-30,2.653755136E7,9818894.02
SKAMANIA,2021-07-01,2022-06-30,1375427.46,508908.17
SNOHOMISH,2021-07-01,2022-06-30,1.4270481049E8,5.280116416E7
SPOKANE,2021-07-01,2022-06-30,1.5169446859E8,5.612739211E7
STEVENS,2021-07-01,2022-06-30,7678767.97,2841144.17
THURSTON,2021-07-01,2022-06-30,6.821998236E7,2.524144254E7
WAHKIAKUM,2021-07-01,2022-06-30,604750.56,223757.7
WALLA WALLA,2021-07-01,2022-06-30,1.033044942E7,3822363.65
WHATCOM,2021-07-01,2022-06-30,4.379026381E7,1.620253547E7
WHITMAN,2021-07-01,2022-06-30,1.268476554E7,4693363.25
YAKIMA,2021-07-01,2022-06-30,3.312122904E7,1.225491757E7
ALL COUNTIES TOTAL,2021-07-01,2022-06-30,1.37639966393E9,5.0935481502E8
