County,Begin_Reporting_Period,End_Reporting_Period,Total_Sales,Total_Excise_Tax
ADAMS,2018-07-01,2019-06-30,1692555.98,626245.71
ASOTIN,2018-07-01,2019-06-30,1.0262650331E7,3797180.62
BENTON,2018-07-01,2019-06-30,2.384922601E7,8824213.629999999
CHELAN,2018-07-01,2019-06-30,9277336.62,3432614.5500000003
CLALLAM,2018-07-01,2019-06-30,1.2725776319999997E7,4708537.24
CLARK,2018-07-01,2019-06-30,6.257988357E7,2.315455692E7
COLUMBIA,2018-07-01,2019-06-30,750590.1000000001,277718.34
COWLITZ,2018-07-01,2019-06-30,1.604067374E7,5935049.29
DOUGLAS,2018-07-01,2019-06-30,4032367.7,1491976.05
FERRY,2018-07-01,2019-06-30,846826.4799999999,313325.8
GRANT,2018-07-01,2019-06-30,1.067567312E7,3949999.0500000003
GRAYS HARBOR,2018-07-01,2019-06-30,1.3381898549999999E7,4951302.460000001
ISLAND,2018-07-01,2019-06-30,1.037008298E7,3836930.7
JEFFERSON,2018-07-01,2019-06-30,5651310.140000001,2090984.74
KING,2018-07-01,2019-06-30,2.977937241299998E8,1.1018367792000002E8
KITSAP,2018-07-01,2019-06-30,3.472921298E7,1.284980879E7
KITTITAS,2018-07-01,2019-06-30,7514074.46,2780207.5599999996
KLICKITAT,2018-07-01,2019-06-30,2313803.32,856107.2299999999
LEWIS,2018-07-01,2019-06-30,6334296.35,2343689.6500000004
LINCOLN,2018-07-01,2019-06-30,559485.8300000001,207009.75
MASON,2018-07-01,2019-06-30,8082452.930000001,2990507.5800000005
OKANOGAN,2018-07-01,2019-06-30,5312240.7,1965529.0499999998
PACIFIC,2018-07-01,2019-06-30,3433076.56,1270238.3299999998
PEND OREILLE,2018-07-01,2019-06-30,347593.06,128609.43
PIERCE,2018-07-01,2019-06-30,1.2684427915E8,4.693238327000001E7
SAN JUAN,2018-07-01,2019-06-30,2436653.68,901561.86
SKAGIT,2018-07-01,2019-06-30,2.1159141119999997E7,7828882.239999999
SKAMANIA,2018-07-01,2019-06-30,1049460.9300000002,388300.55
SNOHOMISH,2018-07-01,2019-06-30,1.1093968658999997E8,4.104768404E7
SPOKANE,2018-07-01,2019-06-30,1.0802957466000001E8,3.997094263000001E7
STEVENS,2018-07-01,2019-06-30,3927297.93,1453100.2399999998
THURSTON,2018-07-01,2019-06-30,4.974134625E7,1.84042981E7
WAHKIAKUM,2018-07-01,2019-06-30,407300.06999999995,150701.03
WALLA WALLA,2018-07-01,2019-06-30,8129662.33,3007975.06
WHATCOM,2018-07-01,2019-06-30,3.420297929000001E7,1.2655102339999998E7
WHITMAN,2018-07-01,2019-06-30,9880618.37,3655828.8000000003
YAKIMA,2018-07-01,2019-06-30,2.1983287639999997E7,8133816.42
ALL COUNTIES TOTAL,2018-07-01,2019-06-30,1.0472880999709995E9,3.874965969700001E8
