Category,License_number,Begin_reporting_period,End_reporting_period,Total_sales,Excise_tax_due
PROCESSORS,412213.0,2014-07-01,2014-07-31,144293.94,36073.49
PROCESSORS,412527.0,2014-07-01,2014-07-31,8712.0,2178.0
PROCESSORS,412069.0,2014-07-01,2014-07-31,95360.38,23840.1
PROCESSORS,412618.0,2014-07-01,2014-07-31,79549.55,19887.39
PROCESSORS,412218.0,2014-07-01,2014-07-31,23636.37,5909.09
PROCESSORS,412107.0,2014-07-01,2014-07-31,72406.22,18101.56
PROCESSORS,412943.0,2014-07-01,2014-07-31,34352.35,8588.09
PROCESSORS,412240.0,2014-07-01,2014-07-31,127939.0,31984.75
PROCESSORS,412239.0,2014-07-01,2014-07-31,38800.0,9700.0
PROCESSORS,412217.0,2014-07-01,2014-07-31,381026.0,95256.5
PROCESSORS,412337.0,2014-07-01,2014-07-31,12065.74,3016.44
PROCESSORS,412053.0,2014-07-01,2014-07-31,103366.87,25841.71
PROCESSORS,419150.0,2014-07-01,2014-07-31,34746.0,8686.5
PROCESSORS,413038.0,2014-07-01,2014-07-31,51556.24,12889.06
PROCESSORS,412759.0,2014-08-01,2014-08-31,58566.0,14641.5
PROCESSORS,415700.0,2014-08-01,2014-08-31,13060.0,3265.0
PROCESSORS,414323.0,2014-08-01,2014-08-31,43046.36,10761.59
PROCESSORS,412213.0,2014-08-01,2014-08-31,73650.75,18412.69
PROCESSORS,412118.0,2014-08-01,2014-08-31,24073.19,6018.3
PROCESSORS,412527.0,2014-08-01,2014-08-31,10650.0,2662.5
PROCESSORS,413943.0,2014-08-01,2014-08-31,79367.79,19841.95
PROCESSORS,412069.0,2014-08-01,2014-08-31,93600.08,23400.02
PROCESSORS,412106.0,2014-08-01,2014-08-31,19272.0,4818.0
PROCESSORS,412144.0,2014-08-01,2014-08-31,6139.38,1534.85
PROCESSORS,412567.0,2014-08-01,2014-08-31,43974.9,10993.73
PROCESSORS,412618.0,2014-08-01,2014-08-31,88790.0,22197.5
PROCESSORS,412218.0,2014-08-01,2014-08-31,15898.5,3974.63
PROCESSORS,412123.0,2014-08-01,2014-08-31,190.49,47.62
PROCESSORS,412135.0,2014-08-01,2014-08-31,80582.68,20145.67
PROCESSORS,412107.0,2014-08-01,2014-08-31,22291.24,5572.81
PROCESSORS,412943.0,2014-08-01,2014-08-31,4342.64,1085.66
PROCESSORS,412240.0,2014-08-01,2014-08-31,64144.8,16036.2
PROCESSORS,412403.0,2014-08-01,2014-08-31,25555.38,6388.85
PROCESSORS,412149.0,2014-08-01,2014-08-31,820373.01,205093.25
PROCESSORS,412239.0,2014-08-01,2014-08-31,177480.0,44370.0
PROCESSORS,412672.0,2014-08-01,2014-08-31,172553.74,43138.44
PROCESSORS,412217.0,2014-08-01,2014-08-31,291414.0,72853.5
PROCESSORS,412337.0,2014-08-01,2014-08-31,15290.33,3822.58
PROCESSORS,412053.0,2014-08-01,2014-08-31,89890.78,22472.7
PROCESSORS,419150.0,2014-08-01,2014-08-31,4480.0,1120.0
PROCESSORS,413038.0,2014-08-01,2014-08-31,12888.0,3222.0
PROCESSORS,412075.0,2014-09-01,2014-09-30,50568.0,12642.0
PROCESSORS,412759.0,2014-09-01,2014-09-30,142471.5,35617.88
PROCESSORS,412099.0,2014-09-01,2014-09-30,8720.25,2180.06
PROCESSORS,415700.0,2014-09-01,2014-09-30,7377.5,1844.38
PROCESSORS,414323.0,2014-09-01,2014-09-30,36755.4,9188.85
PROCESSORS,412213.0,2014-09-01,2014-09-30,53920.4,13480.1
PROCESSORS,415762.0,2014-09-01,2014-09-30,24655.0,6163.75
PROCESSORS,412118.0,2014-09-01,2014-09-30,34451.12,8612.78
PROCESSORS,412246.0,2014-09-01,2014-09-30,229284.58,57321.15
PROCESSORS,412527.0,2014-09-01,2014-09-30,14744.25,3686.06
PROCESSORS,413943.0,2014-09-01,2014-09-30,66870.36,16717.59
PROCESSORS,417526.0,2014-09-01,2014-09-30,16704.0,4176.0
PROCESSORS,417585.0,2014-09-01,2014-09-30,33265.2,8316.3
PROCESSORS,412069.0,2014-09-01,2014-09-30,74067.75,18516.94
PROCESSORS,412681.0,2014-09-01,2014-09-30,0.05,0.01
PROCESSORS,412106.0,2014-09-01,2014-09-30,23323.0,5830.75
PROCESSORS,413076.0,2014-09-01,2014-09-30,40027.52,10006.88
PROCESSORS,412060.0,2014-09-01,2014-09-30,2123.25,530.81
PROCESSORS,412144.0,2014-09-01,2014-09-30,3147.13,786.78
PROCESSORS,412352.0,2014-09-01,2014-09-30,3997.5,999.38
PROCESSORS,412154.0,2014-09-01,2014-09-30,44949.61,11237.41
PROCESSORS,412567.0,2014-09-01,2014-09-30,19264.77,4816.19
PROCESSORS,412096.0,2014-09-01,2014-09-30,73915.0,18478.75
PROCESSORS,412618.0,2014-09-01,2014-09-30,128060.0,32015.0
PROCESSORS,412218.0,2014-09-01,2014-09-30,18123.0,4530.75
PROCESSORS,412123.0,2014-09-01,2014-09-30,570.0,142.5
PROCESSORS,412373.0,2014-09-01,2014-09-30,6428.5,1607.13
PROCESSORS,412135.0,2014-09-01,2014-09-30,71696.13,17924.03
PROCESSORS,412426.0,2014-09-01,2014-09-30,3700.48,925.12
PROCESSORS,412063.0,2014-09-01,2014-09-30,49236.0,12309.0
PROCESSORS,412107.0,2014-09-01,2014-09-30,59369.0,14842.25
PROCESSORS,412943.0,2014-09-01,2014-09-30,14002.82,3500.71
PROCESSORS,412077.0,2014-09-01,2014-09-30,10300.0,2575.0
PROCESSORS,412240.0,2014-09-01,2014-09-30,259227.63,64806.91
PROCESSORS,412149.0,2014-09-01,2014-09-30,89334.99,22333.75
PROCESSORS,412239.0,2014-09-01,2014-09-30,25200.0,6300.0
PROCESSORS,412672.0,2014-09-01,2014-09-30,166199.67,41549.92
PROCESSORS,412601.0,2014-09-01,2014-09-30,14628.0,3657.0
PROCESSORS,412273.0,2014-09-01,2014-09-30,93030.45,23257.61
PROCESSORS,412109.0,2014-09-01,2014-09-30,46581.5,11645.38
PROCESSORS,412686.0,2014-09-01,2014-09-30,3740.0,935.0
PROCESSORS,412762.0,2014-09-01,2014-09-30,23144.0,5786.0
PROCESSORS,412217.0,2014-09-01,2014-09-30,285544.01,71386.0
PROCESSORS,414041.0,2014-09-01,2014-09-30,4000.0,1000.0
PROCESSORS,414905.0,2014-09-01,2014-09-30,71456.25,17864.06
PROCESSORS,412337.0,2014-09-01,2014-09-30,9015.5,2253.87
PROCESSORS,412033.0,2014-09-01,2014-09-30,23100.0,5775.0
PROCESSORS,412053.0,2014-09-01,2014-09-30,77067.42,19266.86
PROCESSORS,419150.0,2014-09-01,2014-09-30,1718.0,429.5
PROCESSORS,416562.0,2014-10-01,2014-10-31,34681.25,8670.31
PROCESSORS,412232.0,2014-10-01,2014-10-31,10587.5,2646.88
PROCESSORS,412169.0,2014-10-01,2014-10-31,2160.0,540.0
PROCESSORS,415783.0,2014-10-01,2014-10-31,9568.5,2392.13
PROCESSORS,413957.0,2014-10-01,2014-10-31,25205.6,6301.4
PROCESSORS,412075.0,2014-10-01,2014-10-31,50396.0,12599.0
PROCESSORS,415697.0,2014-10-01,2014-10-31,37535.49,9383.87
PROCESSORS,412759.0,2014-10-01,2014-10-31,257529.01,64382.25
PROCESSORS,412099.0,2014-10-01,2014-10-31,15988.5,3997.13
PROCESSORS,415700.0,2014-10-01,2014-10-31,59405.5,14851.38
PROCESSORS,414323.0,2014-10-01,2014-10-31,140847.04,35211.76
PROCESSORS,416063.0,2014-10-01,2014-10-31,15000.0,3750.0
PROCESSORS,416315.0,2014-10-01,2014-10-31,33711.26,8427.82
PROCESSORS,412213.0,2014-10-01,2014-10-31,57431.38,14357.85
PROCESSORS,415762.0,2014-10-01,2014-10-31,75895.49,18973.87
PROCESSORS,412252.0,2014-10-01,2014-10-31,189990.0,47497.5
PROCESSORS,412118.0,2014-10-01,2014-10-31,10860.0,2715.0
PROCESSORS,412527.0,2014-10-01,2014-10-31,24683.0,6170.75
PROCESSORS,413078.0,2014-10-01,2014-10-31,64816.0,16204.0
PROCESSORS,413943.0,2014-10-01,2014-10-31,55639.64,13909.91
PROCESSORS,412084.0,2014-10-01,2014-10-31,170391.89,42597.97
PROCESSORS,412609.0,2014-10-01,2014-10-31,18802.8,4700.7
PROCESSORS,412552.0,2014-10-01,2014-10-31,7991.82,1997.96
PROCESSORS,412570.0,2014-10-01,2014-10-31,4482.0,1120.5
PROCESSORS,417623.0,2014-10-01,2014-10-31,10894.5,2723.63
PROCESSORS,417526.0,2014-10-01,2014-10-31,5652.0,1413.0
PROCESSORS,417585.0,2014-10-01,2014-10-31,3947.5,986.88
PROCESSORS,417525.0,2014-10-01,2014-10-31,12312.25,3078.06
PROCESSORS,412044.0,2014-10-01,2014-10-31,3648.0,912.0
PROCESSORS,412069.0,2014-10-01,2014-10-31,79713.07,19928.26
PROCESSORS,412688.0,2014-10-01,2014-10-31,32326.0,8081.5
PROCESSORS,412681.0,2014-10-01,2014-10-31,86380.3,21595.08
PROCESSORS,412106.0,2014-10-01,2014-10-31,32089.0,8022.25
PROCESSORS,413076.0,2014-10-01,2014-10-31,49726.46,12431.62
PROCESSORS,412060.0,2014-10-01,2014-10-31,11774.0,2943.5
PROCESSORS,412144.0,2014-10-01,2014-10-31,9440.41,2360.1
PROCESSORS,412616.0,2014-10-01,2014-10-31,29032.0,7258.0
PROCESSORS,412352.0,2014-10-01,2014-10-31,11466.33,2866.58
PROCESSORS,412154.0,2014-10-01,2014-10-31,854.55,213.64
PROCESSORS,412567.0,2014-10-01,2014-10-31,33434.5,8358.63
PROCESSORS,412104.0,2014-10-01,2014-10-31,23771.0,5942.75
PROCESSORS,412595.0,2014-10-01,2014-10-31,990.0,247.5
PROCESSORS,412096.0,2014-10-01,2014-10-31,40890.0,10222.5
PROCESSORS,412618.0,2014-10-01,2014-10-31,228866.5,57216.62
PROCESSORS,412218.0,2014-10-01,2014-10-31,4838.0,1209.5
PROCESSORS,412123.0,2014-10-01,2014-10-31,744.0,186.0
PROCESSORS,412373.0,2014-10-01,2014-10-31,-6428.5,-1607.13
PROCESSORS,412135.0,2014-10-01,2014-10-31,133798.98,33449.74
PROCESSORS,412426.0,2014-10-01,2014-10-31,9251.2,2312.8
PROCESSORS,412063.0,2014-10-01,2014-10-31,186378.0,46594.5
PROCESSORS,412107.0,2014-10-01,2014-10-31,44165.5,11041.37
PROCESSORS,415822.0,2014-10-01,2014-10-31,24083.58,6020.9
PROCESSORS,412943.0,2014-10-01,2014-10-31,64711.0,16177.75
PROCESSORS,412792.0,2014-10-01,2014-10-31,22875.0,5718.75
PROCESSORS,412077.0,2014-10-01,2014-10-31,87360.0,21840.0
PROCESSORS,412240.0,2014-10-01,2014-10-31,59240.59,14810.15
PROCESSORS,412403.0,2014-10-01,2014-10-31,21916.24,5479.06
PROCESSORS,412249.0,2014-10-01,2014-10-31,47970.28,11992.57
PROCESSORS,412149.0,2014-10-01,2014-10-31,301533.0,75383.25
